Oceania;Papua New Guinea;Alotau;-10.3167;150.4333;15939
Oceania;Papua New Guinea;Tari;-5.8489;142.9506;15413
Oceania;Papua New Guinea;Daru;-9.0833;143.2;12879
Oceania;Papua New Guinea;Vanimo;-2.6667;141.2833;11863
Oceania;Papua New Guinea;Kundiawa;-6.023;144.96;11553
Oceania;Papua New Guinea;Tabubil;-5.275;141.2264;10270
Oceania;Papua New Guinea;Wau;-7.3389;146.7167;9442
Oceania;Papua New Guinea;Rabaul;-4.1981;152.1681;7024
Oceania;Papua New Guinea;Kieta;-6.2058;155.6227;6958
Oceania;Papua New Guinea;Kerema;-7.927;145.838;6551
Oceania;Papua New Guinea;Lorengau;-2.0208;147.2667;6313
Oceania;Papua New Guinea;Wabag;-5.4833;143.7;4072
Oceania;Papua New Guinea;Sohano;-5.4297;154.6711;2338
Oceania;Papua New Guinea;Hoskins;-5.4746;150.41;871
Oceania;Papua New Guinea;Amau;-10.0426;148.565;230
Oceania;Papua New Guinea;Kurumul;-5.855;144.6311;0
Oceania;Papua New Guinea;Buka;-5.4219;154.6728;0
África;Angola;Luanda;-8.8383;13.2344;9051000
África;Angola;Cacuaco;-8.8053;13.2444;1279488
África;Angola;Cazenga;-8.8214;13.2911;892401
África;Angola;Lubango;-14.9167;13.5;776249
África;Angola;Cabinda;-5.56;12.19;739182
África;Angola;Huambo;-12.7767;15.7347;713134
África;Angola;Malanje;-9.5333;16.35;604215
África;Angola;Benguela;-12.55;13.4167;512886
África;Angola;Cuito;-12.3833;16.9333;512706
África;Angola;Belas;-8.9983;13.265;500000
África;Angola;Talatona;-8.9167;13.1833;500000
África;Angola;Lobito;-12.35;13.5464;436467
África;Angola;Saurimo;-9.65;20.4;393000
África;Angola;Cubal;-13.0333;14.25;357618
África;Angola;Luena;-11.7918;19.9062;357413
África;Angola;Uíge;-7.6167;15.05;322531
África;Angola;Menongue;-14.6556;17.6842;320914
África;Angola;Vila Teixeira da Silva;-12.1958;15.8556;294494
África;Angola;Sumbe;-11.2053;13.8417;279968
África;Angola;Caála;-12.85;15.55;279792
África;Angola;Gabela;-10.85;14.3667;271843
África;Angola;Matala;-14.7306;15.0367;262763
África;Angola;Ndulo;-11.4833;15.8333;258161
África;Angola;Andulo;-11.4926;16.7035;258161
África;Angola;Moçâmedes;-15.1953;12.1508;255000
África;Angola;Ganda;-13.0167;14.6333;235486
África;Angola;Uacu Cungo;-11.3583;15.1194;225520
África;Angola;Barra do Dande;-8.4728;13.3731;222528
África;Angola;Soio;-6.1333;12.3667;200920
África;Angola;Tchitato;-7.3667;20.8333;195136
África;Angola;Chibia;-15.1833;13.7;190670
África;Angola;Ucu Seles;-11.4047;14.3006;187127
África;Angola;Cuango;-9.1444;18.0464;183767
África;Angola;Mbanza Kongo;-6.2678;14.2481;180329
África;Angola;Caluquembe;-13.7833;14.6833;179931
África;Angola;Dundo;-7.3801;20.8351;177604
África;Angola;Catumbela;-12.4339;13.5433;175805
África;Angola;Cazanga;-9.3;14.95;171743
África;Angola;Caluquembe;-13.7833;14.6833;169420
África;Angola;Catape;-13.7667;15.0833;167820
África;Angola;Caconda;-13.7393;15.0607;167820
África;Angola;Ebo;-11.0;14.6667;165129
África;Angola;Bocoio;-12.45;14.15;164685
África;Angola;Quibala;-10.7333;14.9833;163991
África;Angola;Ndalatando;-9.3;14.9167;161584
África;Angola;Quipungo;-14.8167;14.55;158918
África;Angola;Lucapa;-8.4228;20.7392;154305
África;Angola;Maquela do Zombo;-6.05;15.1167;146908
África;Angola;Namacunde;-17.3;15.85;142047
África;Angola;Negage;-7.7667;15.2667;137559
África;Angola;Porto Amboim;-10.7183;13.75;137000
África;Angola;Cacula;14.0;29.0;136977
África;Angola;Quimbele;-6.5167;16.2167;136496
África;Angola;Londuimbali;-12.2419;15.3133;134254
África;Angola;Chicomba;-14.1333;14.9167;131807
África;Angola;Chinguar;-12.55;16.3333;129370
África;Angola;Catabola;-12.1167;17.3;126631
África;Angola;Ondjiva;-17.0667;15.7333;121537
África;Angola;Catchiungo;-12.5667;16.2333;120677
África;Angola;Cassongue;-11.8333;15.0;117000
África;Angola;Quilengues;-14.0814;14.0931;113825
África;Angola;Mungo;-11.6667;16.1667;113417
África;Angola;Balombo;-12.35;14.7667;108965
África;Angola;Baía Farta;-12.6072;13.1944;107841
África;Angola;Ndjamba;-14.7;16.0667;105090
África;Angola;Calandala;-9.0894;15.955;101703
África;Angola;Quilenda;-10.6333;14.3333;97648
África;Angola;Caimbambo;-12.9;14.0833;90838
África;Angola;Cambambe;-9.7586;14.5122;90766
África;Angola;Luau;-10.7044;22.2283;90000
África;Angola;Conda;-11.1667;14.5;89479
África;Angola;Humpata;-15.0;13.3333;89144
África;Angola;Chongoroi;-13.5667;13.95;87278
África;Angola;Longonjo;-12.9067;15.1864;86795
África;Angola;Mussende;-10.5103;16.0107;82544
África;Angola;Chibemba;15.0;46.0;79462
África;Angola;Kuvango;-14.4667;16.3;78543
África;Angola;Chitembo;-13.5138;16.7541;78156
África;Angola;Chitemo;-13.5167;16.7667;78156
África;Angola;Caxito;-8.58;13.6642;77276
África;Angola;Cunhinga;-12.2333;16.7833;73826
África;Angola;Dondo;-9.6942;14.4228;71715
África;Angola;Xangongo;-16.7467;14.9747;70568
África;Angola;Cahama;-16.2833;14.3167;70061
África;Angola;Cuímba;-6.1178;14.6172;69194
África;Angola;Sanza Pombo;-7.3333;16.0;68391
África;Angola;Xá Muteba;-9.5167;17.8167;68114
África;Angola;Damba;-6.8833;15.0167;66472
África;Angola;Chipindo;-13.8244;15.8;64714
África;Angola;Camabatela;-8.1833;15.3667;61769
África;Angola;Sungo;-11.2333;14.3167;61682
África;Angola;Nambuangongo;-8.0167;14.2;60883
África;Angola;Calulo;-10.0007;14.901;60709
África;Angola;Camacupa;-12.0256;17.4686;59000
África;Angola;Cambundi Catembo;-10.0756;17.5569;58581
